seed_id,scope,source_url,final_url,status,final_fetch_status,http_status,tls_compat_retry_used,tls_verification_mode,original_tls_error,tls_verification,title,source_updated_at,phone_candidates,raw_html,sha256,collected_at
1,wonju_public_health,https://www.wonju.go.kr/health/contents.do?key=1624,https://www.wonju.go.kr/health/contents.do?key=1624,collected,collected,200,False,verified,,verified,찾아오시는 길 - 보건소 안내 -보건소,2026.02.24,033-737-4011;033-737-4012;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_01.html,353747b7d76b64f135410784fa79232c18b538eaa7051a9d838c398a1dd74a53,2026-07-15T23:45:29+09:00
2,wonju_public_health,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,collected,collected,200,False,verified,,verified,업무별 전화번호 - 조직 및 업무안내 - 보건소 안내 -보건소,2026.02.24,033-000-0000;033-1111-1111;033-4826;033-731-8594;033-732-3507;033-732-4296;033-732-5731;033-737-2064;033-737-2070;033-737-3721;033-737-3722;033-737-3724;033-737-3725;033-737-3726;033-737-3751;033-737-3752;033-737-3756;033-737-3759;033-737-3765;033-737-3766;033-737-3771;033-737-3772;033-737-3773;033-737-3774;033-737-3776;033-737-3778;033-737-3788;033-737-3789;033-737-3792;033-737-3793;033-737-3794;033-737-3796;033-737-3798;033-737-3855;033-737-3867;033-737-3996;033-737-4001;033-737-4003;033-737-4005;033-737-4008;033-737-4011;033-737-4012;033-737-4013;033-737-4014;033-737-4015;033-737-4016;033-737-4019;033-737-4020;033-737-4021;033-737-4022;033-737-4023;033-737-4024;033-737-4025;033-737-4026;033-737-4027;033-737-4029;033-737-4030;033-737-4031;033-737-4032;033-737-4033;033-737-4035;033-737-4036;033-737-4037;033-737-4038;033-737-4041;033-737-4042;033-737-4043;033-737-4044;033-737-4045;033-737-4046;033-737-4048;033-737-4050;033-737-4051;033-737-4052;033-737-4053;033-737-4054;033-737-4055;033-737-4056;033-737-4057;033-737-4058;033-737-4060;033-737-4062;033-737-4063;033-737-4064;033-737-4065;033-737-4066;033-737-4067;033-737-4068;033-737-4069;033-737-4071;033-737-4072;033-737-4073;033-737-4074;033-737-4075;033-737-4076;033-737-4079;033-737-4080;033-737-4081;033-737-4083;033-737-4084;033-737-4085;033-737-4086;033-737-4087;033-737-4088;033-737-4091;033-737-4092;033-737-4094;033-737-4096;033-737-4097;033-737-4098;033-737-4129;033-737-4490;033-737-4497;033-737-4498;033-737-4521;033-737-4522;033-737-4523;033-737-4524;033-737-4525;033-737-4526;033-737-4527;033-737-4528;033-737-4531;033-737-4532;033-737-4533;033-737-4534;033-737-4535;033-737-4536;033-737-4539;033-737-4540;033-737-4541;033-737-4543;033-737-4544;033-737-4552;033-737-4582;033-737-4704;033-737-4707;033-737-4708;033-737-4821;033-737-4826;033-737-4827;033-737-4828;033-737-4829;033-737-4887;033-737-5200;033-737-5205;033-737-5206;033-737-5208;033-737-5209;033-737-5210;033-737-5211;033-737-5212;033-737-5214;033-737-5215;033-737-5216;033-737-5217;033-737-5218;033-737-5221;033-737-5225;033-737-5251;033-737-5258;033-737-5278;033-737-5279;033-737-5392;033-7373894;033-742-2111;033-761-2188;033-763-5661;033-764-9043,data/collected/public_health/raw/2026-07-15/seed_02.html,f64323ca6c3ef1659a9039c04bc88df913d16b8eb3bfa6c1b7a67058c67bc8c0,2026-07-15T23:45:29+09:00
3,wonju_public_health,https://www.wonju.go.kr/health/contents.do?key=5463,https://www.wonju.go.kr/health/contents.do?key=5463,collected,collected,200,False,verified,,verified,조직도 - 조직 및 업무안내 - 보건소 안내 -보건소,2026.02.24,033-737-4011;033-737-4012;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_03.html,c9eeba4c5db848224c2ab65fda2e223531ba4cf5e988b2fa843462f991d2d794,2026-07-15T23:45:29+09:00
4,wonju_public_health,https://www.wonju.go.kr/health/contents.do?key=1623,https://www.wonju.go.kr/health/contents.do?key=1623,collected,collected,200,False,verified,,verified,층별안내 - 보건소 안내 -보건소,2026.02.24,033-737-4011;033-737-4012;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_04.html,6a6098f411aa972df3c8047ce12bf50ed8319fc2e51a0eb1d28b27e42d1b3ed8,2026-07-15T23:45:29+09:00
5,wonju_public_health,https://www.wonju.go.kr/health/contents.do?key=1627,https://www.wonju.go.kr/health/contents.do?key=1627,collected,collected,200,False,verified,,verified,일반진료 - 진료안내 - 진료 -보건소,2026.02.11,033-737-4009;033-737-4011;033-737-4028;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_05.html,42e6a56c286b40fc335316ed577a927e449e115cf2d833fab077374920d20450,2026-07-15T23:45:29+09:00
6,health_subcenters_and_clinics,https://www.wonju.go.kr/health/contents.do?key=5155,https://www.wonju.go.kr/health/contents.do?key=5155,collected,collected,200,False,verified,,verified,보건지소 및 보건진료소 - 보건소 안내 -보건소,2026.03.09,033-737-4005;033-737-4011;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_06.html,346bea7ebefd6084219adab11ab5fbe744e56b4e4476a2c58accfdae16b0c7cb,2026-07-15T23:45:29+09:00
7,health_living_support,https://www.wonju.go.kr/health/contents.do?key=3745,https://www.wonju.go.kr/health/contents.do?key=3745,collected,collected,200,False,verified,,verified,남원주건강생활지원센터 - 건강증진 - 보건 -보건소,2026.02.26,033-737-4011;033-737-4826;033-737-4952;033-737-5206;033-737-5278,data/collected/public_health/raw/2026-07-15/seed_07.html,cbc7deddb1676bd0bf1ca45eb65be6e31293e556c3b359cbf066b84ca18ddf74,2026-07-15T23:45:29+09:00
8,health_living_support,https://www.wonju.go.kr/health/contents.do?key=5551,https://www.wonju.go.kr/health/contents.do?key=5551,collected,collected,200,False,verified,,verified,서원주건강생활지원센터 - 건강증진 - 보건 -보건소,2026.02.26,033-737-3722;033-737-3724;033-737-3725;033-737-3726;033-737-4011;033-737-4826,data/collected/public_health/raw/2026-07-15/seed_08.html,b4846140b0d8a0c0ea60e30bea1a5a15ef13185a3b2660a9f293e932d314ee89,2026-07-15T23:45:29+09:00
9,mental_health,https://www.wonju.go.kr/health/contents.do?key=6230,https://www.wonju.go.kr/health/contents.do?key=6230,collected,collected,200,False,verified,,verified,정신보건사업 - 정신건강 - 보건 -보건소,2026.01.09,033-737-4011;033-737-4129;033-737-4826;1577-0199;746-0199,data/collected/public_health/raw/2026-07-15/seed_09.html,a0cb76e41b3262bbd9e25e2e054afa403235dd601a802ff8de6a2ce036e62ad5,2026-07-15T23:45:29+09:00
10,mental_health,https://loveme.yonsei.kr/,https://loveme.yonsei.kr/,collected,collected,200,False,verified,,verified,원주시정신건강복지센터,,033-746-0192;033-746-0198;033-746-0199;1577-0199,data/collected/public_health/raw/2026-07-15/seed_10.html,666f094258b94b9ebc636b20804b89aaadde9075098cedb794d4e51b59847735,2026-07-15T23:45:29+09:00
