institution_id,source_dataset,source_filename,source_reference_date,source_row_number,source_name,source_address,source_phone,source_category,matched_by,match_confidence,imported_at
wonju:13192850,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,2,희망찬여성의원,"강원특별자치도 원주시 혁신로 39-1, 3, 4층 (반곡동)",033-733-2888,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192851,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,3,지쉘의원,"강원특별자치도 원주시 지정면 기업도시로 6, 2층 203호",033-733-8901,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192852,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,4,밴스의원,"강원특별자치도 원주시 서원대로 416, 2층 (단구동)",033-812-3034,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192970,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,5,장수뜸한의원,"강원특별자치도 원주시 서원대로 383, 한신프라자 4층 406,407호 (개운동)",033-765-8388,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192853,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,6,단구햇살의원,"강원특별자치도 원주시 치악로 1626, 3층 (단구동)",033-761-9973,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192854,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,7,원주유앤항외과의원,"강원특별자치도 원주시 능라동길 51, 시네시티타워 401, 402호 (무실동)",033-734-1515,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13193082,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,8,서울수려한치과의원,"강원특별자치도 원주시 능라동길 61, 207호 (무실동)",033-900-7522,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192855,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,9,매일진료365의원,"강원특별자치도 원주시 능라동길 65, 휴먼타워 1, 3층 (무실동)",033-813-4675,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192627,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,10,이석원내과의원,"강원특별자치도 원주시 평원로 76, 201호 (평원동)",033-900-5155,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
wonju:13192628,clinic_2025-11-25,강원특별자치도 원주시_의원 정보_20251125.csv,2025-11-25,11,서울탑마취통증의학과의원,"강원특별자치도 원주시 중앙시장길 32, 1,2층 일부호 (중앙동)",033-813-3800,의원,phone_exact,1.0000,2026-07-15T23:14:39+09:00
