institution_id,source_id,category,normalized_category,name,normalized_name,address,normalized_address,phone,bed_count,managing_authority,managing_authority_phone,mental_health_type,active_status,source_status,primary_source,primary_source_reference_date,created_at,updated_at
wonju:13192596,13192596,종합병원,종합병원,강원특별자치도원주의료원,강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)",강원특별자치도 원주시 서원대로 387,033-761-6911,,,,종합병원,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
wonju:13192597,13192597,종합병원,종합병원,연세대학교 원주세브란스기독병원,연세대학교원주세브란스기독병원,강원특별자치도 원주시 일산로 20 (일산동),강원특별자치도 원주시 일산로 20,033-741-0114,,,,종합병원,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:58+09:00
wonju:13192598,13192598,병원,병원,연세명인병원,연세명인병원,"강원특별자치도 원주시 평원로 100-0 (학성동, (학성동))",강원특별자치도 원주시 평원로 100-0 ),033-813-1111,,,,long_term_care_hospital,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:58+09:00
wonju:13192599,13192599,병원,병원,원주프라임병원,원주프라임병원,"강원특별자치도 원주시 남원로 556-0, 지하1~6층 (개운동)","강원특별자치도 원주시 남원로 556-0, 지하1~6층",033-1522-3375,,,,,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
wonju:13192600,13192600,병원,병원,의료법인삼산의료재단 삼산병원,의료법인삼산의료재단삼산병원,강원특별자치도 원주시 혁신로 5 (반곡동),강원특별자치도 원주시 혁신로 5,033-749-9900,,,,종합병원,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:58+09:00
wonju:13192601,13192601,병원,병원,본베스트병원,본베스트병원,"강원특별자치도 원주시 능라동길 51, 6,7층 609~611,701~707호 (무실동)","강원특별자치도 원주시 능라동길 51, 6",033-742-7766,,,,,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
wonju:13192602,13192602,병원,병원,원주센텀병원,원주센텀병원,강원특별자치도 원주시 능라동길 70 (무실동),강원특별자치도 원주시 능라동길 70,033-900-1111,,,,,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
wonju:13192603,13192603,병원,병원,원주불로병원,원주불로병원,강원특별자치도 원주시 평원로 165 (학성동),강원특별자치도 원주시 평원로 165,033-747-2000,,,,,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
wonju:13192604,13192604,병원,병원,원주연세병원,원주연세병원,"강원특별자치도 원주시 원일로 230, 지하1~지상4층 (학성동)","강원특별자치도 원주시 원일로 230, 지하1~지상4층",1670-2020,,,,,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
wonju:13192605,13192605,병원,병원,연세메디하임병원,연세메디하임병원,강원특별자치도 원주시 문막읍 원문로 1419 (연세메디하임병원),강원특별자치도 원주시 문막읍 원문로 1419,033-740-8800,,,,,active,current_master,wonju_health_medical_2026,2026,2026-07-15T21:05:51+09:00,2026-07-15T21:05:51+09:00
