institution_id,field_name,canonical_value,incoming_value,canonical_source,incoming_source,resolution,review_required
wonju:13192850,address,"강원특별자치도 원주시 혁신로 39-1,3, 4층 (반곡동)","강원특별자치도 원주시 혁신로 39-1, 3, 4층 (반곡동)",wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192850,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192850,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192851,address,"강원특별자치도 원주시 지정면 기업도시로 6, 2층, 203호","강원특별자치도 원주시 지정면 기업도시로 6, 2층 203호",wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192851,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192851,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192852,address,"강원특별자치도 원주시 서원대로 416, 2층(단구동)","강원특별자치도 원주시 서원대로 416, 2층 (단구동)",wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192852,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192852,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192970,address,"강원특별자치도 원주시 서원대로 383, 한신플라자 4층 406,407호(개운동)","강원특별자치도 원주시 서원대로 383, 한신프라자 4층 406,407호 (개운동)",wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192970,category,한의원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192970,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192853,address,"강원특별자치도 원주시 치악로 1626, 3층(단구동)","강원특별자치도 원주시 치악로 1626, 3층 (단구동)",wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192853,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192853,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192854,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192854,bed_count,,4,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13193082,category,치과,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13193082,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192855,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192855,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192627,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
wonju:13192627,bed_count,,0,wonju_health_medical_2026,clinic_2025-11-25,enrich_missing_field,false
wonju:13192628,category,병원,의원,wonju_health_medical_2026,clinic_2025-11-25,keep_current_master,true
