target_id,canonical_name,institution_type,target_resolution_status,institution_id,organizational_unit_id,parent_target_id,parent_institution_id,matched_by,match_confidence,match_source_url,match_evidence_hash,source_url,source_reference,evidence_hash,current_status,resolution_reason,review_required,schedule_coverage_status
phc:wonju,원주시보건소,public_health_center,matched_existing,public:442a5f81460e13ce,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=1624,314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,https://www.wonju.go.kr/health/contents.do?key=1624,,314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:munmak,문막읍보건지소,public_health_branch,matched_existing,public:98f872e7825d45cd,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d,https://www.wonju.go.kr/health/contents.do?key=5155,,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:socho,소초면보건지소,public_health_branch,matched_existing,public:508212201bfb7f86,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1,https://www.wonju.go.kr/health/contents.do?key=5155,,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:jijeong,지정면보건지소,public_health_branch,matched_existing,public:02acfead706a2eb8,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412,https://www.wonju.go.kr/health/contents.do?key=5155,,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:buro,부론면보건지소,public_health_branch,created_new,public:p0:edd7e0e80c7973ce,,,,official_name_address_created_new,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648,https://www.wonju.go.kr/health/contents.do?key=5155,,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648,source_confirmed,"Created from official institution name, Wonju address, and field-level evidence.",False,not_present_in_collected_sources
phb:gwichang,귀래면보건지소,public_health_branch,matched_existing,public:e6751a5267a0999a,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a,https://www.wonju.go.kr/health/contents.do?key=5155,,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:heungeop,흥업면보건지소,public_health_branch,matched_existing,public:854880130c8c10d7,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca,https://www.wonju.go.kr/health/contents.do?key=5155,,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:hojeo,호저면보건지소,public_health_branch,matched_existing,public:64530d40bd82a021,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4,https://www.wonju.go.kr/health/contents.do?key=5155,,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:panjeon,판부면보건지소,public_health_branch,matched_existing,public:be79b69ae8d741a8,,,,name_base_address,1.0000,https://www.wonju.go.kr/health/contents.do?key=5155,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99,https://www.wonju.go.kr/health/contents.do?key=5155,,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99,source_confirmed,Unique existing institution matched by name_base_address.,False,not_present_in_collected_sources
phb:sillim,신림면보건지소,public_health_branch,matched_existing,public:2bfea25adb535f46,,,,name_phone,1.0000,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,cbb7e808d40fc72c0a556b41f317d25aa18e6f4aca6f8f5945bd36b33fcc9692,https://www.wonju.go.kr/health/contents.do?key=5155,,1fa21b849d1d2c38edd7ba4c4be8babd66f5d005e2c837b31e630585475eef6b,source_confirmed,Unique existing institution matched by name_phone.,False,not_present_in_collected_sources
