contact_id,source_candidate_id,public_health_id,target_id,organizational_unit_id,contact_type,contact_label,contact_value,contact_value_normalized,department,purpose,availability_note,source_url,source_updated_at,evidence_hash,review_status
contact:cf600806e03b66cdc14e,2009863722edb4c8724c,public_health:c08c08e890a768f4,phc:wonju,,representative_phone,대표전화,033-737-4011,033-737-4011,,대표전화,,https://www.wonju.go.kr/health/contents.do?key=1624,2026.02.24,314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,verified
contact:2dd8f606e70d7213606b,295ce52e417c1e9eb387,public_health:5806f0e0ec6a5bbf,hls:namwonju,,inquiry_phone,문의전화,033-737-5278,033-737-5278,,문의전화,,https://www.wonju.go.kr/health/contents.do?key=3745,2026.02.26,a767413b745dccd4d498d243a58e464e90b9558271e8da2e27b864656cea729b,verified
contact:102da35dc70cc5f19cc1,9e6c9bb5e080acc7ba8a,public_health:b9c5349b1a66315c,hls:namwonju-annex,,inquiry_phone,문의전화,033-737-4952,033-737-4952,,문의전화,,https://www.wonju.go.kr/health/contents.do?key=3745,2026.02.26,1db1e3f88a6864938c41ed6dc000db54a3941c390586641382058a82396964de,verified
contact:50ace9d819fb2b61b7a3,85545ebe977a8b02fea6,public_health:d1a1681a17ef4e55,hls:seowonju,,counseling_phone,만성질환·금연상담,033-737-3725,033-737-3725,,만성질환·금연상담,,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,verified
contact:52089fba0a2c5bac40b5,e44a728509fbe3ffd107,public_health:d1a1681a17ef4e55,hls:seowonju,,counseling_phone,영양상담,033-737-3726,033-737-3726,,영양상담,,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,verified
contact:6ec5506899fca85bcb43,45a35081e357da43ae5b,public_health:d1a1681a17ef4e55,hls:seowonju,,counseling_phone,운동상담,033-737-3724,033-737-3724,,운동상담,,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,verified
contact:8f72ab1fc7d3082dc4ba,feb5b68f85e62419fd4f,public_health:a7d2ef4e0e47597f,mh:wonju,,representative_phone,센터 전화,033-746-0199,033-746-0199,,센터 전화,,https://loveme.yonsei.kr/,,596797fb30fe732ce0cb3e6cab1605338cbf7b227b2aff69124f9770a81cec11,verified
contact:c045c909eecf3a390993,40327ba02b72928e5fcc,public_health:a7d2ef4e0e47597f,mh:wonju,,national_hotline,정신건강 위기상담,1577-0199,1577-0199,,정신건강 위기상담,,https://loveme.yonsei.kr/,,596797fb30fe732ce0cb3e6cab1605338cbf7b227b2aff69124f9770a81cec11,verified
contact:6dc967ff11658d9ee1e8,075d0f3473cb98040e94,,mh:suicide,unit:mh:suicide,organizational_unit_phone,자살예방센터 전화,033-746-0198,033-746-0198,,자살예방센터 전화,,https://loveme.yonsei.kr/,,0313053fb944cdef63843637fcf93a0c95f05a2a5f2e9c633d2ad76a94e1c73d,verified
contact:a32fa3bf5281fc42f5cc,ef9c2c04e7abddb8fc32,public_health:e30af8d4e37b4656,mh:dementia,,representative_phone,센터 전화,033-737-4542,033-737-4542,,센터 전화,,https://wonju.nid.or.kr/center/map.aspx,,adb7eb2a103b49093c0f580746135cdc2094c300a32a19f738d273fa9d6ac140,verified
