public_health_id,target_id,canonical_name,normalized_name,institution_type,parent_organization,address,normalized_address,base_address_key,current_status,representative_phone,homepage_url,jurisdiction,primary_source_url,primary_source_updated_at,latest_verified_at,source_count,has_conflict,review_status,entity_candidate_id,evidence_hash,extraction_method,extraction_confidence
public_health:c08c08e890a768f4,phc:wonju,원주시보건소,원주시보건소,public_health_center,원주시,원주시 원일로 139,원주시 원일로 139,원일로139,source_confirmed,033-737-4011,https://www.wonju.go.kr/health/index.do,원주시,https://www.wonju.go.kr/health/contents.do?key=1624,2026.02.24,2026-07-15T23:45:29+09:00,1,False,verified,ebb1a4b1695824cfa12e,314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,official_labeled_field,high
public_health:b9e6fe7edd46c7f9,phb:munmak,문막읍보건지소,문막읍보건지소,public_health_branch,원주시보건소,원주시 문막읍 건등로 11 (건등리 1718),원주시 문막읍 건등로 11 (건등리 1718),건등로11,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,3d1132e329137d2a9951,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d,official_table_row,high
public_health:31556e04f04d20b3,phb:socho,소초면보건지소,소초면보건지소,public_health_branch,원주시보건소,원주시 치악로 2790 (평장리 789-1),원주시 치악로 2790 (평장리 789-1),치악로2790,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,d485ab82537be6e31979,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1,official_table_row,high
public_health:32174ab10c2f6673,phb:jijeong,지정면보건지소,지정면보건지소,public_health_branch,원주시보건소,원주시 지정면 간현로 126 (간현리 849-1),원주시 지정면 간현로 126 (간현리 849-1),간현로126,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,04edb2ddecdfd159caf7,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412,official_table_row,high
public_health:edd7e0e80c7973ce,phb:buro,부론면보건지소,부론면보건지소,public_health_branch,원주시보건소,원주시 부론면 법천시장길 59 (법천리 1449-4),원주시 부론면 법천시장길 59 (법천리 1449-4),법천시장길59,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,e20a8e9836537b37e1ff,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648,official_table_row,high
public_health:9cab3446ad059156,phb:gwichang,귀래면보건지소,귀래면보건지소,public_health_branch,원주시보건소,원주시 귀래면 북원로 106 (운남리 555-5),원주시 귀래면 북원로 106 (운남리 555-5),북원로106,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,1bc9dfcff61584ada6e4,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a,official_table_row,high
public_health:6f4b7371968c4a0b,phb:heungeop,흥업면보건지소,흥업면보건지소,public_health_branch,원주시보건소,원주시 흥업면 울업1길 3 (흥업리 73-10),원주시 흥업면 울업1길 3 (흥업리 73-10),울업1길3,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,23527bdbb2f6c5e6e480,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca,official_table_row,high
public_health:7d1b4ae138367192,phb:hojeo,호저면보건지소,호저면보건지소,public_health_branch,원주시보건소,원주시 호저면 호저로 429 (주산리 522),원주시 호저면 호저로 429 (주산리 522),호저로429,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,42ad3c5517336c417937,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4,official_table_row,high
public_health:9feb5b5d9be65c88,phb:panjeon,판부면보건지소,판부면보건지소,public_health_branch,원주시보건소,원주시 치악로 1501 (관설동 1452-4),원주시 치악로 1501 (관설동 1452-4),치악로1501,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,4515cac38fcc805b13ea,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99,official_table_row,high
public_health:25a08e1f9a2740d8,phb:sillim,신림면보건지소,신림면보건지소,public_health_branch,원주시보건소,원주시 신림면 치악로 28-2 (신림리 530-9),원주시 신림면 치악로 28-2 (신림리 530-9),치악로28-2,source_confirmed,,,원주시,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,2026-07-15T23:45:29+09:00,1,False,verified,c78a78140fb20ec7ef16,1fa21b849d1d2c38edd7ba4c4be8babd66f5d005e2c837b31e630585475eef6b,official_table_row,high
