source_record_id,candidate_id,target_id,record_type,disposition,public_health_id,organizational_unit_id,source_url,source_updated_at,evidence_hash,disposition_reason
source:92031b295f45a656c12a,3d1132e329137d2a9951,phb:munmak,entity,normalized_profile,public_health:b9e6fe7edd46c7f9,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,7ee4ce71a86d3c7436eb7ae16ae48ec93f81dd03188657f3aeec9db440b92b2d,normalized target-owned evidence
source:52a395b4d2454982b778,d485ab82537be6e31979,phb:socho,entity,normalized_profile,public_health:31556e04f04d20b3,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,075732fed347b1c0c613d3c1ab3f22e1676548bc8882155b1b3635b2f8fac8a1,normalized target-owned evidence
source:af5e2b042ff956e17f1c,42ad3c5517336c417937,phb:hojeo,entity,normalized_profile,public_health:7d1b4ae138367192,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,e10a0c815ed11d969a7d4a03fca261cf0686429466800169b4a034afed4ef2f4,normalized target-owned evidence
source:2ad229c2f83cb38f5e3e,04edb2ddecdfd159caf7,phb:jijeong,entity,normalized_profile,public_health:32174ab10c2f6673,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,4361318c9d14abf9ec60cbb1bf9d283c8a6b9dad880e2eb8f31a4302c16dd412,normalized target-owned evidence
source:f378e544e5152ffe4dfb,e20a8e9836537b37e1ff,phb:buro,entity,normalized_profile,public_health:edd7e0e80c7973ce,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,0694293b9904d3ecc62460113eed3e671ea376455d5b624ccb9c347fc7ba1648,normalized target-owned evidence
source:ab95f94eb8cc39ddc3c8,1bc9dfcff61584ada6e4,phb:gwichang,entity,normalized_profile,public_health:9cab3446ad059156,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,8ad54560e643fcfcf034c6a207a3a528314cc300afb8c3bd936c136e94a1692a,normalized target-owned evidence
source:de20b349865a756ca809,23527bdbb2f6c5e6e480,phb:heungeop,entity,normalized_profile,public_health:6f4b7371968c4a0b,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,effc7cee23140aadc7dfbb17e70a2cf2935539dc8b25290addbf2e8d0af990ca,normalized target-owned evidence
source:addd2706ff125d4a7d8e,4515cac38fcc805b13ea,phb:panjeon,entity,normalized_profile,public_health:9feb5b5d9be65c88,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,92af54973b6949bee7c9c6cfb265d2ef3f389a031cf3115c6780a183cbdfbe99,normalized target-owned evidence
source:f948a27f04c663f3a0ac,c78a78140fb20ec7ef16,phb:sillim,entity,normalized_profile,public_health:25a08e1f9a2740d8,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,1fa21b849d1d2c38edd7ba4c4be8babd66f5d005e2c837b31e630585475eef6b,normalized target-owned evidence
source:ac49870663698c65a1f2,00ca5a2e8f55271b6e1a,phc:bi-do,entity,normalized_profile,public_health:9518d7e5ee08bc5d,,https://www.wonju.go.kr/health/contents.do?key=5155,2026.03.09,e7530e904b4177f69a6ceadb62e074a9bd8e9ced06c66c6605b48c14545e18f9,normalized target-owned evidence
