link_id,doc_id,chunk_id,institution_id,institution_name,link_method,matched_text,confidence
p1instlink:a026dec014d8c13aaba1,p1doc:59b18b7d1b890af6efe3,p1chunk:9743c784bdbaac2bae85,public:2ccd4b4d5f184c56,원주시정신건강복지센터,exact_normalized_institution_name,원주시정신건강복지센터,1.0000
p1instlink:53cb48a2508a66cdc432,p1doc:59b18b7d1b890af6efe3,p1chunk:149eb992d70e9175a2d5,public:2ccd4b4d5f184c56,원주시정신건강복지센터,exact_normalized_institution_name,원주시정신건강복지센터,1.0000
p1instlink:0a951be26d8821d8aba5,p1doc:59b18b7d1b890af6efe3,p1chunk:66721eb8426e194341a7,public:2ccd4b4d5f184c56,원주시정신건강복지센터,exact_normalized_institution_name,원주시정신건강복지센터,1.0000
p1instlink:2beb6f134780f0991acf,p1doc:d0852d059ed50986d64f,p1chunk:8e0b4ca3c910e981486e,public:442a5f81460e13ce,원주시보건소,exact_normalized_institution_name,원주시보건소,1.0000
p1instlink:23d654fa889c8c608dbb,p1doc:00c5f1b92052afcec0bc,p1chunk:3240ce7208ec399a3a45,public:854880130c8c10d7,흥업면보건지소,exact_normalized_institution_name,흥업면보건지소,1.0000
p1instlink:8b05310bc6b6fcdf3cd1,p1doc:00c5f1b92052afcec0bc,p1chunk:3240ce7208ec399a3a45,public:64530d40bd82a021,호저면보건지소,exact_normalized_institution_name,호저면보건지소,1.0000
p1instlink:d403bffaa5f91d796882,p1doc:00c5f1b92052afcec0bc,p1chunk:3240ce7208ec399a3a45,public:p0:5806f0e0ec6a5bbf,남원주건강생활지원센터,exact_normalized_institution_name,남원주건강생활지원센터,1.0000
p1instlink:fbd09ba7e85a323f4fdd,p1doc:00c5f1b92052afcec0bc,p1chunk:3240ce7208ec399a3a45,public:p0:d1a1681a17ef4e55,서원주건강생활지원센터,exact_normalized_institution_name,서원주건강생활지원센터,1.0000
p1instlink:4b3dce7d9ff44e97d995,p1doc:00c5f1b92052afcec0bc,p1chunk:7fdc279b49d78113c6d0,public:854880130c8c10d7,흥업면보건지소,exact_normalized_institution_name,흥업면보건지소,1.0000
p1instlink:9ad5557b17798bcaaf59,p1doc:00c5f1b92052afcec0bc,p1chunk:7fdc279b49d78113c6d0,public:64530d40bd82a021,호저면보건지소,exact_normalized_institution_name,호저면보건지소,1.0000
p1instlink:90984d8922774a6dbd46,p1doc:00c5f1b92052afcec0bc,p1chunk:4b39ea0371c9bc9dbc9c,public:442a5f81460e13ce,원주시보건소,exact_normalized_institution_name,원주시보건소,1.0000
p1instlink:c82bdee874d5fcc9b6d4,p1doc:00c5f1b92052afcec0bc,p1chunk:f57ce632ab1f7e4cbe92,public:442a5f81460e13ce,원주시보건소,exact_normalized_institution_name,원주시보건소,1.0000
p1instlink:4647faaa1db9a4224115,p1doc:2ce6b108370bcde1fa92,p1chunk:af9aed7002ebc1483179,wonju:13192801,21세기소아청소년과의원,exact_normalized_institution_name,21세기소아청소년과의원,1.0000
p1instlink:5db07c099145eed8682d,p1doc:2ce6b108370bcde1fa92,p1chunk:af9aed7002ebc1483179,wonju:13192817,연규홍소아청소년과의원,exact_normalized_institution_name,연규홍소아청소년과의원,1.0000
p1instlink:0b57e9f510ef16a665b3,p1doc:2ce6b108370bcde1fa92,p1chunk:af9aed7002ebc1483179,wonju:13192836,오은경소아청소년과의원,exact_normalized_institution_name,오은경소아청소년과의원,1.0000
p1instlink:05dd1a3aa074524b632e,p1doc:2ce6b108370bcde1fa92,p1chunk:8042823892e0f77dc1b7,wonju:13192801,21세기소아청소년과의원,exact_normalized_institution_name,21세기소아청소년과의원,1.0000
p1instlink:60ec12b1904915e6c327,p1doc:2ce6b108370bcde1fa92,p1chunk:8042823892e0f77dc1b7,wonju:13192817,연규홍소아청소년과의원,exact_normalized_institution_name,연규홍소아청소년과의원,1.0000
p1instlink:162122c081bf1193d015,p1doc:2ce6b108370bcde1fa92,p1chunk:8042823892e0f77dc1b7,wonju:13192836,오은경소아청소년과의원,exact_normalized_institution_name,오은경소아청소년과의원,1.0000
p1instlink:43470fead25c985fd418,p1doc:2ce6b108370bcde1fa92,p1chunk:3502c49fd299b7a251ec,wonju:13192596,강원특별자치도원주의료원,exact_normalized_institution_name,강원특별자치도원주의료원,1.0000
p1instlink:5bdfe27d5463a870dd9a,p1doc:2ce6b108370bcde1fa92,p1chunk:3502c49fd299b7a251ec,wonju:13192669,드림365소아청소년과의원,exact_normalized_institution_name,드림365소아청소년과의원,1.0000
p1instlink:d42188058e5880eb851e,p1doc:2ce6b108370bcde1fa92,p1chunk:3502c49fd299b7a251ec,wonju:13192672,기린소아청소년과의원,exact_normalized_institution_name,기린소아청소년과의원,1.0000
