doc_id,canonical_doc_id,dedup_status,title,category,url,reference_date,reference_date_basis,retrieved_at,raw_path,raw_sha256,clean_sha256,clean_character_count,section_count
p1doc:52485489f6241f1c2f69,p1doc:52485489f6241f1c2f69,canonical,뇌졸중에 대해서 | 국가건강정보포털 | 질병관리청,clinical_guidance,https://health.kdca.go.kr/healthinfo/biz/health/ccvdInfo/ccvcdInfo/cbvcacdInfoMain.do,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:37+09:00,data/p1_rag/raw/pages/p1doc_52485489f6241f1c2f69.html,d9f4f4788a8936ff41cf600904a819b4533b1b5199e26a76d8e442b1df89054b,3bfb0e77295e0a49868cd3b44afadffc1b2c3fa4ced33bfbed65367c1ea87b83,11057,142
p1doc:d5c3355dfc1a5e9cc1a6,p1doc:d5c3355dfc1a5e9cc1a6,canonical,두통 | 국가건강정보포털 | 질병관리청,clinical_guidance,https://health.kdca.go.kr/healthinfo/biz/health/gnrlzHealthInfo/gnrlzHealthInfo/gnrlzHealthInfoView.do?cntnts_sn=5830,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:37+09:00,data/p1_rag/raw/pages/p1doc_d5c3355dfc1a5e9cc1a6.html,a65ebab93422cc092f1e0c75c23ad5683d91b9f439691cf89d8388838f19ce08,e3a332c8912ef7509b214c05492d77f43dbb87c7ba9a1c941df5e821f05952be,1171,59
p1doc:59b18b7d1b890af6efe3,p1doc:59b18b7d1b890af6efe3,canonical,안내/오시는길 | 센터소개,mental_health,https://loveme.yonsei.kr/sub.php?menukey=12,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:37+09:00,data/p1_rag/raw/pages/p1doc_59b18b7d1b890af6efe3.html,95f4e7f6aeb158ea9364d8e2e80d7e525d198bc98946093750caf4732c599441,84a2be65acec5e39cc7f731bb303c374abda30a420c790154c2b52db3eb4e417,1284,39
p1doc:02dd51e227a2d74bed2b,p1doc:02dd51e227a2d74bed2b,canonical,공지사항 상세보기(증상별 병원 안내 ‘응급똑똑’ 앱 출시! 국민이 스스로 똑똑하게 선택할 수 있는 응급똑똑(시범운영)) | E-GEN통합홈페이지,clinical_guidance,https://www.e-gen.or.kr/nemc/notice_view.do?brdctsno=12899&upperfixyn=Y,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:38+09:00,data/p1_rag/raw/pages/p1doc_02dd51e227a2d74bed2b.html,eb9532a7d1dde3abf26e97bf9983cb03732be144dfe1a9eb3c2f9ffefff6a7c5,2297e42e91ce76d602aa284a6487d08ed8f0134b4ca1914fb74d400d74839374,2371,65
p1doc:4a2dfe866d8ce2a6e5a2,p1doc:4a2dfe866d8ce2a6e5a2,canonical,"Headaches
 - NHS",clinical_guidance,https://www.nhs.uk/symptoms/headaches/,2024-04-17,official_last_reviewed,2026-07-17T00:25:38+09:00,data/p1_rag/raw/pages/p1doc_4a2dfe866d8ce2a6e5a2.html,618abbf820be8252bc35415d7bf9448bae317c0edeac1aefdbc89f6d2bb63da5,a953283ae1e5a6947476831187267b68be2b98b4a5e0c0426f2bb232d1f621fd,4293,47
p1doc:982041fc03cf3e0c1e71,p1doc:982041fc03cf3e0c1e71,canonical,Recommendations | Headaches in over 12s: diagnosis and management | Guidance | NICE,clinical_guidance,https://www.nice.org.uk/guidance/cg150/chapter/recommendations,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:39+09:00,data/p1_rag/raw/pages/p1doc_982041fc03cf3e0c1e71.html,a5c784c398bb0cb0ad7cff50c8c672c2f444ca9db16a4ba488d32df8dfa91224,b4c23f6e5e7e4c32cccd2b12dd37af6d2537c471fa7738aa5521718a3bcf0e01,25619,186
p1doc:d0852d059ed50986d64f,p1doc:d0852d059ed50986d64f,canonical,인사말 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1620,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:37+09:00,data/p1_rag/raw/pages/p1doc_d0852d059ed50986d64f.html,03d68d3a5ccc50da5be2af3a029e9deadceb42058e0facd2a9259a89b694ae13,5141bd21813bd6d94cb966a377a56b8076be755a4a25bc29c8664e85f5f056df,535,6
p1doc:00c5f1b92052afcec0bc,p1doc:00c5f1b92052afcec0bc,canonical,현황 및 연혁 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1621,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:38+09:00,data/p1_rag/raw/pages/p1doc_00c5f1b92052afcec0bc.html,ffa915b37d78c78548eac0e98c755388ce2dfc4d3e526b2e53b7337e4b13c0e9,0121f3d8bbfddace2d7beb1cf68bf5a86315fe1a662405d4f0e803e886726ecc,3239,41
p1doc:df5a9e133ebcc5a21d2a,p1doc:df5a9e133ebcc5a21d2a,canonical,층별안내 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1623,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:37+09:00,data/p1_rag/raw/pages/p1doc_df5a9e133ebcc5a21d2a.html,960d1312ffc678f628d333076804abb8e8c77728da8e83550c7d1aff5ffa2a35,cfc13605906ecf4c27ee017028c08de873c1ca0c0f8d43db14b05b7945d2e11d,1354,75
p1doc:2c0b3ce5773680e2d981,p1doc:2c0b3ce5773680e2d981,canonical,찾아오시는 길 - 보건소 안내 -보건소,health,https://www.wonju.go.kr/health/contents.do?key=1624,2026-07-17,collection_date_no_published_date,2026-07-17T00:25:38+09:00,data/p1_rag/raw/pages/p1doc_2c0b3ce5773680e2d981.html,b73fd6508c4b4175d25db7f317bc4c866b02588c3622e693d19db19f5892ed8d,578771b17168d38ece5c053058f23c8dcbb7e389b243a9208c03250e23ccd33f,45,1
