link_id,doc_id,chunk_id,service_id,institution_id,service_name,link_method,matched_text,confidence
p1servicelink:413c964cb02536b44e8a,p1doc:df5a9e133ebcc5a21d2a,p1chunk:52096f71187e5b912a96,service:60e7521ea018a848337b,public:p0:b9c5349b1a66315c,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:a6c78b8abccc85d28dbf,p1doc:df5a9e133ebcc5a21d2a,p1chunk:52096f71187e5b912a96,service:a02b43f84c54ff0ca945,public:p0:d1a1681a17ef4e55,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:f19ee511ce6ededa6cd0,p1doc:df5a9e133ebcc5a21d2a,p1chunk:8902269b9f9849e81a45,service:60e7521ea018a848337b,public:p0:b9c5349b1a66315c,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:f9436e540158acbf639f,p1doc:df5a9e133ebcc5a21d2a,p1chunk:8902269b9f9849e81a45,service:a02b43f84c54ff0ca945,public:p0:d1a1681a17ef4e55,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:3f6d5a0d1efe56e60c73,p1doc:75ee1649ca43834d53fd,p1chunk:a5bba665431934011a82,service:60e7521ea018a848337b,public:p0:b9c5349b1a66315c,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:fb38d564762a55b6b5dc,p1doc:75ee1649ca43834d53fd,p1chunk:a5bba665431934011a82,service:a02b43f84c54ff0ca945,public:p0:d1a1681a17ef4e55,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:129b95312ebb508fb923,p1doc:75ee1649ca43834d53fd,p1chunk:d78132a0d8259768df49,service:60e7521ea018a848337b,public:p0:b9c5349b1a66315c,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:618ff03d1aa0be1e10fa,p1doc:75ee1649ca43834d53fd,p1chunk:d78132a0d8259768df49,service:a02b43f84c54ff0ca945,public:p0:d1a1681a17ef4e55,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:45e0eee4ff75d15c0083,p1doc:75ee1649ca43834d53fd,p1chunk:2b5762be6e39c8a4fc7c,service:60e7521ea018a848337b,public:p0:b9c5349b1a66315c,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:f076dc14dd649f8f7edd,p1doc:75ee1649ca43834d53fd,p1chunk:2b5762be6e39c8a4fc7c,service:a02b43f84c54ff0ca945,public:p0:d1a1681a17ef4e55,금연 클리닉,exact_normalized_service_name,금연 클리닉,1.0000
p1servicelink:954dc51c65b40319e543,p1doc:d7e389c97a127f9d4ffc,p1chunk:9c2cdcd9663f86c29710,service:6021d0fd73f973632d72,public:2ccd4b4d5f184c56,정신보건사업,exact_normalized_service_name,정신보건사업,1.0000
