source_type,source_label,source_url,source_updated_at,collected_at,source_row_number,pharmacy_name_source_raw,pharmacy_name,is_public_late_night,address_source_raw,address_normalized,phone_source_raw,phone_normalized,weekday_hours_source_raw,weekday_hours_normalized,saturday_hours_source_raw,saturday_hours_normalized,sunday_hours_source_raw,sunday_hours_normalized,raw_row_text,source_record_id,preprocessing_status
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,1,아침약국 *공공심야약국,아침약국,True,원주시 단구로 394 (단구동),원주시 단구로 394 (단구동),761-2003,033-761-2003,10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),10:00~01:00 (19~22시 휴게시간),10:00~01:00 (19:00~22:00 휴게시간),아침약국 *공공심야약국 원주시 단구로 394 (단구동) 761-2003 10:00~01:00 (19~22시 휴게시간) 10:00~01:00 (19~22시 휴게시간) 10:00~01:00 (19~22시 휴게시간),pharmacy-source:001,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,2,D마트약국,D마트약국,False,원주시 천사로 50 (단계동),원주시 천사로 50 (단계동),746-0114,033-746-0114,09:00~21:30,09:00~21:30,09:00~21:00,09:00~21:00,09:30~21:00,09:30~21:00,D마트약국 원주시 천사로 50 (단계동) 746-0114 09:00~21:30 09:00~21:00 09:30~21:00,pharmacy-source:002,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,3,구곡시장약국,구곡시장약국,False,원주시 남원로534번길 14 (단구동),원주시 남원로534번길 14 (단구동),761-4827,033-761-4827,08:30~22:00,08:30~22:00,-,-,12:00~22:00,12:00~22:00,구곡시장약국 원주시 남원로534번길 14 (단구동) 761-4827 08:30~22:00 - 12:00~22:00,pharmacy-source:003,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,4,금빛누리약국,금빛누리약국,False,원주시 지정면 신지정로 190 105호,원주시 지정면 신지정로 190 105호,742-5458,033-742-5458,09:00~21:00,09:00~21:00,09:00~17:00,09:00~17:00,10:00~17:00,10:00~17:00,금빛누리약국 원주시 지정면 신지정로 190 105호 742-5458 09:00~21:00 09:00~17:00 10:00~17:00,pharmacy-source:004,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,5,무실하늘약국,무실하늘약국,False,"원주시 시청로 72, (무실동)",원주시 시청로 72 (무실동),744-4056,033-744-4056,08:00~21:30,08:00~21:30,08:00~19:00,08:00~19:00,-,-,"무실하늘약국 원주시 시청로 72, (무실동) 744-4056 08:00~21:30 08:00~19:00 -",pharmacy-source:005,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,6,삼육오약국,삼육오약국,False,원주시 단구로 386 (단구동),원주시 단구로 386 (단구동),763-4072,033-763-4072,09:00~22:00,09:00~22:00,09:00~22:00,09:00~22:00,12:30~22:00,12:30~22:00,삼육오약국 원주시 단구로 386 (단구동) 763-4072 09:00~22:00 09:00~22:00 12:30~22:00,pharmacy-source:006,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,7,아리시장약국,아리시장약국,False,원주시 무실로 178 (단계동),원주시 무실로 178 (단계동),747-7515,033-747-7515,09:00~20:00 (13~14시 휴게시간),09:00~20:00 (13:00~14:00 휴게시간),10:00~20:00 (13~14시 휴게시간),10:00~20:00 (13:00~14:00 휴게시간),10:00~20:00 (13~14시 휴게시간),10:00~20:00 (13:00~14:00 휴게시간),아리시장약국 원주시 무실로 178 (단계동) 747-7515 09:00~20:00 (13~14시 휴게시간) 10:00~20:00 (13~14시 휴게시간) 10:00~20:00 (13~14시 휴게시간),pharmacy-source:007,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,8,원주대문약국,원주대문약국,False,"원주시 서원대로 174, (단계동)",원주시 서원대로 174 (단계동),763-6342,033-763-6342,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,08:00~24:00,"원주대문약국 원주시 서원대로 174, (단계동) 763-6342 08:00~24:00 08:00~24:00 08:00~24:00",pharmacy-source:008,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,9,원주대형약국,원주대형약국,False,원주시 호저면 원문로 691 (호저면),원주시 호저면 원문로 691 (호저면),733-1065,033-733-1065,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,08:00~23:00,원주대형약국 원주시 호저면 원문로 691 (호저면) 733-1065 08:00~23:00 08:00~23:00 08:00~23:00,pharmacy-source:009,processed
late_night,심야약국,https://www.wonju.go.kr/health/contents.do?key=1801,2026-07-08,2026-07-15T23:26:14+09:00,10,만종대형약국,만종대형약국,False,원주시 원문로 631 (호저면),원주시 원문로 631 (호저면),731-1365,033-731-1365,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,08:00~22:00,만종대형약국 원주시 원문로 631 (호저면) 731-1365 08:00~22:00 08:00~22:00 08:00~22:00,pharmacy-source:010,processed
