candidate_id,target_id,source_url,source_updated_at,contact_type,contact_label,contact_value_raw,contact_value_normalized,extension,department,purpose,availability_note,evidence_text,evidence_hash,extraction_confidence,review_required
2009863722edb4c8724c,phc:wonju,https://www.wonju.go.kr/health/contents.do?key=1624,2026.02.24,representative_phone,대표전화,033-737-4011,033-737-4011,,,대표전화,,"무단수집거부 홈페이지개선의견 맨위로 원주시 보건소 [26417] 강원특별자치도 원주시 원일로 139 （일산동） 대표전화 : 033-737-4011 팩스 : 033-737-4826 Copyright ⓒ 2020 Wonju-si . All Rights Reserved 본 홈페이지에 게시된 이메일 주소 자동수집을 거부하며, 이를 위반시 정보통신망법에 의해 처벌됨을 유념하시기 바랍니다.",314d84ec74c7075ab836a2800a4620db7f7c7bda396256030f405b6b6976e896,high,False
295ce52e417c1e9eb387,hls:namwonju,https://www.wonju.go.kr/health/contents.do?key=3745,2026.02.26,inquiry_phone,문의전화,033-737-5278,033-737-5278,,,문의전화,,"클리닉 운영(혁신분소) 신청방법 및 비용 방문접수 및 전화접수 / 무료 남원주건강생활지원센터 주소: 강원특별자치도 원주시 단관공원길 86 혁신분소 주소: 강원특별자치도 원주시 건강로 73 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 남원주건강생활지원센터 033-737-5278 / 혁신분소 033-737-4952 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 대상 : 지역주민 내용 : 만성질환 관리(기본검사, 체성분) 및 상담 / 맞춤형 영양 및 운동 상담 02 ONEWAY 동아리 운영 기간 : 연중 대상 : 지역주민 15명 내용 : 20세",a767413b745dccd4d498d243a58e464e90b9558271e8da2e27b864656cea729b,high,False
9e6c9bb5e080acc7ba8a,hls:namwonju-annex,https://www.wonju.go.kr/health/contents.do?key=3745,2026.02.26,inquiry_phone,문의전화,033-737-4952,033-737-4952,,,문의전화,,"무료 남원주건강생활지원센터 주소: 강원특별자치도 원주시 단관공원길 86 혁신분소 주소: 강원특별자치도 원주시 건강로 73 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 남원주건강생활지원센터 033-737-5278 / 혁신분소 033-737-4952 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 대상 : 지역주민 내용 : 만성질환 관리(기본검사, 체성분) 및 상담 / 맞춤형 영양 및 운동 상담 02 ONEWAY 동아리 운영 기간 : 연중 대상 : 지역주민 15명 내용 : 20세~60세 연령의 생활 속 운동 03 퍼펙트 실버 운동교",1db1e3f88a6864938c41ed6dc000db54a3941c390586641382058a82396964de,high,False
85545ebe977a8b02fea6,hls:seowonju,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,counseling_phone,만성질환·금연상담,033-737-3725,033-737-3725,,,만성질환·금연상담,,"사업 금연 클리닉 운영 신청방법 및 비용 방문접수 및 전화접수 / 무료 주소:강원특별자치도 원주시 지정면 가곡로 75-2 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 건강상담실(만성질환/금연상담) 033-737-3725, (영양상담) 033-737-3726, (운동상담) 033-737-3724 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 (주말, 공휴일 휴무 / 점심시간 12:00~13:00) 대상 : 지역주민 내용 : 만성질환 관리(기본검사) 및 상담 / 체성분 측정 / 맞춤형 영양 및 운동 상담 - 검사항목 안내 검사항목 안내 - 검사 항목, 검사일, 검사 주기, 금식 유무에 대한 테이블입니다. 검사 항목 검사일 검사 주기 금식 유무 혈압 월~금 상시 - 혈당 월~금 식전 8시간 이상 금식 식후2시간 - 당화혈색소 화, 목",bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,high,False
e44a728509fbe3ffd107,hls:seowonju,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,counseling_phone,영양상담,033-737-3726,033-737-3726,,,영양상담,,"사업 금연 클리닉 운영 신청방법 및 비용 방문접수 및 전화접수 / 무료 주소:강원특별자치도 원주시 지정면 가곡로 75-2 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 건강상담실(만성질환/금연상담) 033-737-3725, (영양상담) 033-737-3726, (운동상담) 033-737-3724 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 (주말, 공휴일 휴무 / 점심시간 12:00~13:00) 대상 : 지역주민 내용 : 만성질환 관리(기본검사) 및 상담 / 체성분 측정 / 맞춤형 영양 및 운동 상담 - 검사항목 안내 검사항목 안내 - 검사 항목, 검사일, 검사 주기, 금식 유무에 대한 테이블입니다. 검사 항목 검사일 검사 주기 금식 유무 혈압 월~금 상시 - 혈당 월~금 식전 8시간 이상 금식 식후2시간 - 당화혈색소 화, 목",bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,high,False
45a35081e357da43ae5b,hls:seowonju,https://www.wonju.go.kr/health/contents.do?key=5551,2026.02.26,counseling_phone,운동상담,033-737-3724,033-737-3724,,,운동상담,,"사업 금연 클리닉 운영 신청방법 및 비용 방문접수 및 전화접수 / 무료 주소:강원특별자치도 원주시 지정면 가곡로 75-2 ※일반진료, 예방접종, 보건증 발급 제외 문의전화 : 건강상담실(만성질환/금연상담) 033-737-3725, (영양상담) 033-737-3726, (운동상담) 033-737-3724 운영 프로그램 01 통합 건강상담실 운영 기간 : 연중 (주말, 공휴일 휴무 / 점심시간 12:00~13:00) 대상 : 지역주민 내용 : 만성질환 관리(기본검사) 및 상담 / 체성분 측정 / 맞춤형 영양 및 운동 상담 - 검사항목 안내 검사항목 안내 - 검사 항목, 검사일, 검사 주기, 금식 유무에 대한 테이블입니다. 검사 항목 검사일 검사 주기 금식 유무 혈압 월~금 상시 - 혈당 월~금 식전 8시간 이상 금식 식후2시간 - 당화혈색소 화, 목",bc708fd1e08efd3019242f622b364dc2ebfb0d3016e68ff37deab6c665ce95de,high,False
feb5b68f85e62419fd4f,mh:wonju,https://loveme.yonsei.kr/,,representative_phone,센터 전화,033-746-0199,033-746-0199,,,센터 전화,,/행사 신청(개인) 교육/행사 신청(기관) 이벤트 온라인 교육 이용안내 정신건강복지센터 033-746-0199 자살예방센터 033-746-0198 정신건강위기상담 1577-0199 이용시간 평일 09:00 ~ 18:00 정신건강의학과 의사상담 매주 화요일 (예약제 운영) 사업안내 정신건강 정보 자가검진 상담예약 이용방법 이-러닝(e-learning) 공지사항 자료실 2026년 생명사랑 서포터즈 8기 모집 2026.03.06 2026년 유족자조모임 살피꽃밭 2026.02.25 2025년 원주시정신건강,596797fb30fe732ce0cb3e6cab1605338cbf7b227b2aff69124f9770a81cec11,high,False
40327ba02b72928e5fcc,mh:wonju,https://loveme.yonsei.kr/,,national_hotline,정신건강 위기상담,1577-0199,1577-0199,,,정신건강 위기상담,,/행사 신청(개인) 교육/행사 신청(기관) 이벤트 온라인 교육 이용안내 정신건강복지센터 033-746-0199 자살예방센터 033-746-0198 정신건강위기상담 1577-0199 이용시간 평일 09:00 ~ 18:00 정신건강의학과 의사상담 매주 화요일 (예약제 운영) 사업안내 정신건강 정보 자가검진 상담예약 이용방법 이-러닝(e-learning) 공지사항 자료실 2026년 생명사랑 서포터즈 8기 모집 2026.03.06 2026년 유족자조모임 살피꽃밭 2026.02.25 2025년 원주시정신건강,596797fb30fe732ce0cb3e6cab1605338cbf7b227b2aff69124f9770a81cec11,high,False
075d0f3473cb98040e94,mh:suicide,https://loveme.yonsei.kr/,,organizational_unit_phone,자살예방센터 전화,033-746-0198,033-746-0198,,,자살예방센터 전화,,자살예방센터 033-746-0198,0313053fb944cdef63843637fcf93a0c95f05a2a5f2e9c633d2ad76a94e1c73d,high,False
ef9c2c04e7abddb8fc32,mh:dementia,https://wonju.nid.or.kr/center/map.aspx,,representative_phone,센터 전화,033-737-4542,033-737-4542,,,센터 전화,,"세종특별자치시 울산광역시 인천광역시 전라남도 전북특별자치도 제주특별자치도 충청남도 충청북도 시/군/구 선택 (안심센터) 센터명 검색창 검색결과 강원특별자치도원주시치매안심센터 강원특별자치도 원주시 지니기길 11-20 (무실동, 치매안심센터) 원주시 치매안심센터 문막분소(분소) 강원특별자치도 원주시 문막읍 건등로 11 (건등리, 문막읍 행정복지센터) 원주시 치매안심센터 혁신분소(분소) 강원특별자치도 원주시 건강로 73 (반곡동) 개인정보처리방침 이용약관 찾아오시는 길 강원특별자치도 원주시 지니기길 11-20 (무실동, 치매안심센터) / Tel.033-737-4542 / Fax.033-737-3855 Copyright (c) 중앙치매센",adb7eb2a103b49093c0f580746135cdc2094c300a32a19f738d273fa9d6ac140,high,False
4acb163cb1e0fa0b5fb0,phb:munmak,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,department_phone,문막보건지소,033-737-4531,033-737-4531,,보건행정과,문막보건지소,,보건행정과 | 주무관 | 033-737-4531 | 033-737-4826 | 문막보건지소,c749a4aa498bae22ff3a383f9fb6427b6f73fee505675e3f5f81eb684ebdb83b,high,False
7b2022d43af5d56dcb76,phb:socho,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,department_phone,소초보건지소,033-737-4532,033-737-4532,,보건행정과,소초보건지소,,보건행정과 | 주무관 | 033-737-4532 | 033-737-4826 | 소초보건지소,4260b1dec3fbd1a6911c738d4972c9979f55c55f25fe4e39627cb7fe1ec28bd2,high,False
3577c0e6072eb8fde335,phb:buro,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,department_phone,부론보건지소 운영,033-737-4535,033-737-4535,,보건행정과,부론보건지소 운영,,보건행정과 | 주무관 | 033-737-4535 | 033-737-4826 | 부론보건지소 운영,74867f266e53567efb5604013cc7f39a8ae5845d5ec25bea9bc18a9c654c5300,high,False
fa6c64157b73ac3b6f7e,phb:sillim,https://www.wonju.go.kr/health/selectEmployeeList.do?key=5464&searchCnd=all&searchDeptCode=1%404191050,2026.02.24,department_phone,"신림보건지소 진료 및 민원업무, 판부,흥업보건지소 청사관리",033-737-4539,033-737-4539,,보건행정과,"신림보건지소 진료 및 민원업무, 판부,흥업보건지소 청사관리",,"보건행정과 | 주무관 | 033-737-4539 | 033-737-4826 | 신림보건지소 진료 및 민원업무, 판부,흥업보건지소 청사관리",cbb7e808d40fc72c0a556b41f317d25aa18e6f4aca6f8f5945bd36b33fcc9692,high,False
