source,source_id,number_raw,category_raw,name_raw,address_raw,phone_raw,detail_url,map_action_raw,page,row_index,source_url,http_method,collected_at
wonju_health_medical_institution,13192596,1,종합병원,강원특별자치도원주의료원,"강원특별자치도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)",033-761-6911,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192596&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 서원대로 387 (개운동, 지방공사강원도원주의료원)','강원특별자치도원주의료원');",1,1,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192597,2,종합병원,연세대학교 원주세브란스기독병원,강원특별자치도 원주시 일산로 20 (일산동),033-741-0114,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192597&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 일산로 20 (일산동)','연세대학교 원주세브란스기독병원');",1,2,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192598,3,병원,연세명인병원,"강원특별자치도 원주시 평원로 100-0 (학성동, (학성동))",033-813-1111,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192598&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 평원로 100-0 (학성동, (학성동))','연세명인병원');",1,3,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192599,4,병원,원주프라임병원,"강원특별자치도 원주시 남원로 556-0, 지하1~6층 (개운동)",033-1522-3375,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192599&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 남원로 556-0, 지하1~6층 (개운동)','원주프라임병원');",1,4,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192600,5,병원,의료법인삼산의료재단 삼산병원,강원특별자치도 원주시 혁신로 5 (반곡동),033-749-9900,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192600&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 혁신로 5 (반곡동)','의료법인삼산의료재단 삼산병원');",1,5,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192601,6,병원,본베스트병원,"강원특별자치도 원주시 능라동길 51, 6,7층 609~611,701~707호 (무실동)",033-742-7766,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192601&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 능라동길 51, 6,7층 609~611,701~707호 (무실동)','본베스트병원');",1,6,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192602,7,병원,원주센텀병원,강원특별자치도 원주시 능라동길 70 (무실동),033-900-1111,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192602&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 능라동길 70 (무실동)','원주센텀병원');",1,7,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192603,8,병원,원주불로병원,강원특별자치도 원주시 평원로 165 (학성동),033-747-2000,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192603&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 평원로 165 (학성동)','원주불로병원');",1,8,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192604,9,병원,원주연세병원,"강원특별자치도 원주시 원일로 230, 지하1~지상4층 (학성동)",1670-2020,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192604&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 원일로 230, 지하1~지상4층 (학성동)','원주연세병원');",1,9,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
wonju_health_medical_institution,13192605,10,병원,연세메디하임병원,강원특별자치도 원주시 문막읍 원문로 1419 (연세메디하임병원),033-740-8800,https://www.wonju.go.kr/health/viewTnResrceDataPA.do?resrceNo=13192605&sc1=10&si1=27&key=1787&from=,"href=#n | onclick=javascript:fn_setAddressToMapPosition('강원특별자치도 원주시 문막읍 원문로 1419 (연세메디하임병원)','연세메디하임병원');",1,10,https://www.wonju.go.kr/health/selectResrceListPA3.do?key=1787&sc1=10&si1=27&cpn=1,GET,2026-07-15T22:55:11+09:00
