순번,의료기관명,의료기관주소(도로명),의료기관전화번호,병상,관리기관,관리기관 전화번호,데이터 기준일자
1,희망찬여성의원,"강원특별자치도 원주시 혁신로 39-1, 3, 4층 (반곡동)",033-733-2888,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
2,지쉘의원,"강원특별자치도 원주시 지정면 기업도시로 6, 2층 203호",033-733-8901,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
3,밴스의원,"강원특별자치도 원주시 서원대로 416, 2층 (단구동)",033-812-3034,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
4,장수뜸한의원,"강원특별자치도 원주시 서원대로 383, 한신프라자 4층 406,407호 (개운동)",033-765-8388,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
5,단구햇살의원,"강원특별자치도 원주시 치악로 1626, 3층 (단구동)",033-761-9973,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
6,원주유앤항외과의원,"강원특별자치도 원주시 능라동길 51, 시네시티타워 401, 402호 (무실동)",033-734-1515,4,강원특별자치도 원주시청,033-737-4022,2025-11-25
7,서울수려한치과의원,"강원특별자치도 원주시 능라동길 61, 207호 (무실동)",033-900-7522,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
8,매일진료365의원,"강원특별자치도 원주시 능라동길 65, 휴먼타워 1, 3층 (무실동)",033-813-4675,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
9,이석원내과의원,"강원특별자치도 원주시 평원로 76, 201호 (평원동)",033-900-5155,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
10,서울탑마취통증의학과의원,"강원특별자치도 원주시 중앙시장길 32, 1,2층 일부호 (중앙동)",033-813-3800,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
11,차림한의원,"강원특별자치도 원주시 건강로 25, 101,102호 (반곡동)",033-813-1282,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
12,임연웅신경외과의원,"강원특별자치도 원주시 만대공원길 59, 3층 302호 (무실동)",033-735-7882,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
13,서울더바른치과의원,"강원특별자치도 원주시 문막읍 왕건로 22, 3층 301호",033-813-2882,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
14,서울성모정신건강의학과의원,"강원특별자치도 원주시 만대공원길 59, 3층 303호 (무실동)",033-731-3080,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
15,남송한의원,"강원특별자치도 원주시 판부면 남원로 401, 2층",033-813-3651,18,강원특별자치도 원주시청,033-737-4022,2025-11-25
16,21세기본튼튼의원,"강원특별자치도 원주시 현충로 11, 2층 201, 202호 (태장동)",033-813-4095,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
17,키노인터네셔널치과의원,"강원특별자치도 원주시 원일로 120, 4, 5층 (중앙동)",033-762-7070,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
18,아이온가족치과의원,"강원특별자치도 원주시 반곡초교로 78-6, 201, 202, 203호 (반곡동)",033-733-7773,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
19,한사랑치과의원,"강원특별자치도 원주시 판부면 남원로 401, 3층",033-762-7528,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
20,원주스노우의원,"강원특별자치도 원주시 능라동길 61, 9층 (무실동)",033-732-0601,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
21,허승한의원,"강원특별자치도 원주시 단구로 410, 세경5차아파트 상가동동 108,113호 (단구동)",033-747-5116,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
22,원주단구 오케이한의원,"강원특별자치도 원주시 단구로 398, 청솔3차아파트 상가2동 105호 (단구동)",033-765-7975,0,강원특별자치도 원주시청,033-737-4022,2025-11-25
23,파인땡큐앤드유외과의원,"강원특별자치도 원주시 시청로 98, 4층 (무실동)",033-745-7800,3,강원특별자치도 원주시청,033-737-4022,2025-11-25
