연번,기공소명,대표자명,주소,연락처
1,한솔치과기공소,최종성,"강원특별자치도 원주시 중앙로 154, 2층 (중앙동)",033-732-2801
2,지스마트(하이지)치과기공소,김태석,"강원특별자치도 원주시 무실로 148, 청마빌딩 2층 (일산동)",
3,라임치과기공소,이경복,"강원특별자치도 원주시 남산로 61, 2층 (원동)",033-900-0028
4,Z-max 치과기공소,김현호,"강원특별자치도 원주시 원문로 174-1, 3층 (단계동)",033-742-2804
5,당신을 GRIN 기공소,강은기,"강원특별자치도 원주시 서원대로 402, 대신프라자 404호 (단구동)",033-761-2883
6,크라운치과기공소,김홍선,"강원특별자치도 원주시 무실로43번길 1, 1층 (원동)",033-762-2888
7,가온플러스치과기공소,박용상,"강원특별자치도 원주시 무실로 95, 3층 (원동)",033-764-2879
8,엔엔티덴탈랩(N&T Dental Lab),김연수,"강원특별자치도 원주시 솔우물2길 25-1, 3층 (무실동)",033-747-2804
9,가온누리치과기공소,김영윤,"강원특별자치도 원주시 미래로 1, (주)강림빌딩 201호 (반곡동)",033-734-2879
10,해피페이스,이동훈,"강원특별자치도 원주시 원일로 183, 3층 (학성동)",033-742-2803
11,가온치과기공소,이은명,"강원특별자치도 원주시 무실로 107, 3층 (일산동)",033-762-2804
12,구강치과기공소,엄문현,"강원특별자치도 원주시 치악로 1736, 2층 (개운동)",033-766-5630
13,투데이치과기공소,이동현,강원특별자치도 원주시 모래내길 11-4 (단계동),070-4109-2804
14,미소치과기공소,김태훈,"강원특별자치도 원주시 남산로 77, 2층 (일산동)",033-734-5266
15,좋은날치과기공소,지영록,강원특별자치도 원주시 우산로 63 (우산동),070-4383-2804
16,다담치과기공소,이종훈,"강원특별자치도 원주시 북원로2246번길 49, 2층 (단계동)",033-733-2874
17,이룸 치과기공소,김정환,강원특별자치도 원주시 서원대로 383 (개운동),033-765-2804
18,Plus 치과기공소,이정환,"강원특별자치도 원주시 천사로 155, 2층 202호 (일산동)",033-734-1238
19,늘솜 치과기공소,진영주,강원특별자치도 원주시 서원대로 188 (단계동),033-731-7502
20,최강치과기공소,임봉미,"강원특별자치도 원주시 남산로 116, 1층 (일산동)",033-735-2894
21,더디자인치과기공소,황윤석,"강원특별자치도 원주시 서원대로 391, 201호 (개운동, 한신1차아파트 상가동)",033-766-2804
22,베이직치과기공소,김남현,"강원특별자치도 원주시 나비허리길 188, 상가동 203호 (관설동, 청솔8차아파트)",033-733-2804
23,플러스치과기공소,이기석,"강원특별자치도 원주시 원문로 166, 임주희미용실 2층 (단계동)",033-900-7760
24,심미치과기공소,손영호,"강원특별자치도 원주시 장미공원길 71-12, 4층 (단계동)",033-745-2802
25,아름다운치과기공소,김동성,"강원특별자치도 원주시 천사로 32, 4층 (단계동)",033-901-8228
26,아름다운동행치과기공소,임종호,강원특별자치도 원주시 원문로 144 (단계동),070-8791-2879
27,프라임기공소,서상현,강원특별자치도 원주시 원일로 285 (학성동),033-746-2272
28,고은기공소,황치원,"강원특별자치도 원주시 서원대로 408 (단구동, 광장타운빌딩 203호)",033-766-7541
29,믿음치과기공소,신극섭,"강원특별자치도 원주시 이화4길 75 (단계동, 1층)",033-735-2806
30,수치과기공소,강대수,"강원특별자치도 원주시 남원로534번길 14, 6층 (단구동)",033-765-2879
31,아카데미치과기공소,한정민,"강원특별자치도 원주시 중앙로 105, 4층 (중앙동, PR빌딩)",033-745-2879
32,이사랑치과기공소,김성호,"강원특별자치도 원주시 평원로 72, 2층 (평원동)",033-748-1804
33,대성치과기공소,이종환,"강원특별자치도 원주시 원일로 260, 가동 302호 (학성동)",033-904-2812
34,준치과기공소,김영준,강원특별자치도 원주시 치악로 1640 (단구동),033-763-6669
35,영서치과기공소,신동재,강원특별자치도 원주시 남부시장길 18 (명륜동),033-761-8664
36,신치과기공소,신동하,강원특별자치도 원주시 원문로 66 (학성동),033-746-0136
37,매일기공소,남중우,"강원특별자치도 원주시 능라동길 74, 5층 504호 (무실동)",033-812-2882
